"region"	"type of building"	"period of construction"	"year"	Number of dwellings
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1931-1940"	"2015"	5882
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1931-1940"	"2016"	5886
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1931-1940"	"2017"	5928
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1931-1940"	"2018"	5950
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1931-1940"	"2019"	5968
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1931-1940"	"2020"	6011
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1931-1940"	"2021"	6024
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1941-1950"	"2013"	13988
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1941-1950"	"2014"	14118
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1941-1950"	"2015"	14192
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1941-1950"	"2016"	14077
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1941-1950"	"2017"	14024
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1941-1950"	"2018"	13954
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1941-1950"	"2019"	13986
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1941-1950"	"2020"	14005
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1941-1950"	"2021"	13965
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1951-1960"	"2013"	41470
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1951-1960"	"2014"	41589
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1951-1960"	"2015"	41804
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1951-1960"	"2016"	41477
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1951-1960"	"2017"	41548
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1951-1960"	"2018"	41691
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1951-1960"	"2019"	41598
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1951-1960"	"2020"	41811
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1951-1960"	"2021"	41958
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1961-1970"	"2013"	94702
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1961-1970"	"2014"	95116
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1961-1970"	"2015"	95175
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1961-1970"	"2016"	94505
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1961-1970"	"2017"	95002
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1961-1970"	"2018"	95210
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1961-1970"	"2019"	94707
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1961-1970"	"2020"	94756
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1961-1970"	"2021"	94593
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1971-1980"	"2013"	55684
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1971-1980"	"2014"	55712
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1971-1980"	"2015"	55855
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1971-1980"	"2016"	56478
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1971-1980"	"2017"	56277
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1971-1980"	"2018"	56522
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1971-1980"	"2019"	56914
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1971-1980"	"2020"	57011
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1971-1980"	"2021"	57017
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1981-1990"	"2013"	33794
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1981-1990"	"2014"	34042
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1981-1990"	"2015"	33998
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1981-1990"	"2016"	34064
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1981-1990"	"2017"	34132
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1981-1990"	"2018"	34252
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1981-1990"	"2019"	34609
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1981-1990"	"2020"	34621
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1981-1990"	"2021"	34799
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1991-2000"	"2013"	24184
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1991-2000"	"2014"	24227
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1991-2000"	"2015"	24255
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1991-2000"	"2016"	24353
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1991-2000"	"2017"	24584
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1991-2000"	"2018"	24621
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1991-2000"	"2019"	24941
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1991-2000"	"2020"	24964
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"1991-2000"	"2021"	24970
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"2001-2010"	"2013"	23708
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"2001-2010"	"2014"	23898
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"2001-2010"	"2015"	24074
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"2001-2010"	"2016"	24233
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"2001-2010"	"2017"	24350
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"2001-2010"	"2018"	24411
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"2001-2010"	"2019"	24502
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"2001-2010"	"2020"	24496
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"2001-2010"	"2021"	24510
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"2011-2020"	"2013"	8056
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"2011-2020"	"2014"	12240
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"2011-2020"	"2015"	17787
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"2011-2020"	"2016"	26263
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"2011-2020"	"2017"	35558
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"2011-2020"	"2018"	44124
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"2011-2020"	"2019"	51848
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"2011-2020"	"2020"	60460
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"2011-2020"	"2021"	62602
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"2021-"	"2013"	0
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"2021-"	"2014"	0
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"2021-"	"2015"	0
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"2021-"	"2016"	0
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"2021-"	"2017"	0
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"2021-"	"2018"	0
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"2021-"	"2019"	0
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"2021-"	"2020"	0
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"2021-"	"2021"	5576
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"data missing"	"2013"	3247
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"data missing"	"2014"	3636
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"data missing"	"2015"	4688
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"data missing"	"2016"	3666
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"data missing"	"2017"	1267
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"data missing"	"2018"	984
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"data missing"	"2019"	1558
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"data missing"	"2020"	1026
"SKL02 suburban municipalities (38 municipalities)"	"multi-dwelling buildings"	"data missing"	"2021"	1153
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"-1930"	"2013"	472
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"-1930"	"2014"	546
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"-1930"	"2015"	553
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"-1930"	"2016"	573
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"-1930"	"2017"	780
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"-1930"	"2018"	832
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"-1930"	"2019"	771
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"-1930"	"2020"	803
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"-1930"	"2021"	859
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1931-1940"	"2013"	278
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1931-1940"	"2014"	307
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1931-1940"	"2015"	310
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1931-1940"	"2016"	293
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1931-1940"	"2017"	294
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1931-1940"	"2018"	322
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1931-1940"	"2019"	334
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1931-1940"	"2020"	332
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1931-1940"	"2021"	335
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1941-1950"	"2013"	309
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1941-1950"	"2014"	313
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1941-1950"	"2015"	319
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1941-1950"	"2016"	288
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1941-1950"	"2017"	283
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1941-1950"	"2018"	402
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1941-1950"	"2019"	295
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1941-1950"	"2020"	296
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1941-1950"	"2021"	323
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1951-1960"	"2013"	586
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1951-1960"	"2014"	559
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1951-1960"	"2015"	577
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1951-1960"	"2016"	776
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1951-1960"	"2017"	733
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1951-1960"	"2018"	633
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1951-1960"	"2019"	629
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1951-1960"	"2020"	634
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1951-1960"	"2021"	619
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1961-1970"	"2013"	865
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1961-1970"	"2014"	802
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1961-1970"	"2015"	904
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1961-1970"	"2016"	749
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1961-1970"	"2017"	744
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1961-1970"	"2018"	779
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1961-1970"	"2019"	981
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1961-1970"	"2020"	981
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1961-1970"	"2021"	980
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1971-1980"	"2013"	726
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1971-1980"	"2014"	621
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1971-1980"	"2015"	632
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1971-1980"	"2016"	667
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1971-1980"	"2017"	667
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1971-1980"	"2018"	692
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1971-1980"	"2019"	696
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1971-1980"	"2020"	662
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1971-1980"	"2021"	663
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1981-1990"	"2013"	552
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1981-1990"	"2014"	658
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1981-1990"	"2015"	631
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1981-1990"	"2016"	516
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1981-1990"	"2017"	605
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1981-1990"	"2018"	696
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1981-1990"	"2019"	825
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1981-1990"	"2020"	875
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1981-1990"	"2021"	909
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1991-2000"	"2013"	446
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1991-2000"	"2014"	461
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1991-2000"	"2015"	443
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1991-2000"	"2016"	431
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1991-2000"	"2017"	475
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1991-2000"	"2018"	539
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1991-2000"	"2019"	568
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1991-2000"	"2020"	568
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"1991-2000"	"2021"	584
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"2001-2010"	"2013"	976
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"2001-2010"	"2014"	916
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"2001-2010"	"2015"	910
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"2001-2010"	"2016"	941
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"2001-2010"	"2017"	952
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"2001-2010"	"2018"	1022
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"2001-2010"	"2019"	1037
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"2001-2010"	"2020"	1111
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"2001-2010"	"2021"	1129
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"2011-2020"	"2013"	96
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"2011-2020"	"2014"	297
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"2011-2020"	"2015"	324
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"2011-2020"	"2016"	364
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"2011-2020"	"2017"	486
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"2011-2020"	"2018"	499
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"2011-2020"	"2019"	442
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"2011-2020"	"2020"	451
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"2011-2020"	"2021"	557
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"2021-"	"2013"	0
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"2021-"	"2014"	0
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"2021-"	"2015"	0
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"2021-"	"2016"	0
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"2021-"	"2017"	0
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"2021-"	"2018"	0
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"2021-"	"2019"	0
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"2021-"	"2020"	0
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"2021-"	"2021"	2
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"data missing"	"2013"	1546
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"data missing"	"2014"	1124
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"data missing"	"2015"	1150
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"data missing"	"2016"	1335
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"data missing"	"2017"	1185
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"data missing"	"2018"	826
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"data missing"	"2019"	739
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"data missing"	"2020"	703
"SKL02 suburban municipalities (38 municipalities)"	"other buildings"	"data missing"	"2021"	727
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"-1930"	"2013"	97852
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"-1930"	"2014"	98418
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"-1930"	"2015"	98448
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"-1930"	"2016"	99780
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"-1930"	"2017"	100331
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"-1930"	"2018"	100677
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"-1930"	"2019"	100837
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"-1930"	"2020"	101310
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"-1930"	"2021"	101352
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1931-1940"	"2013"	33339
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1931-1940"	"2014"	33369
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1931-1940"	"2015"	33448
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1931-1940"	"2016"	33482
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1931-1940"	"2017"	33649
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1931-1940"	"2018"	33654
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1931-1940"	"2019"	33588
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1931-1940"	"2020"	33689
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1931-1940"	"2021"	33684
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1941-1950"	"2013"	32150
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1941-1950"	"2014"	32266
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1941-1950"	"2015"	32294
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1941-1950"	"2016"	32378
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1941-1950"	"2017"	32593
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1941-1950"	"2018"	32560
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1941-1950"	"2019"	32531
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1941-1950"	"2020"	32559
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1941-1950"	"2021"	32594
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1951-1960"	"2013"	45300
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1951-1960"	"2014"	45475
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1951-1960"	"2015"	45597
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1951-1960"	"2016"	45689
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1951-1960"	"2017"	45851
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1951-1960"	"2018"	45914
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1951-1960"	"2019"	46069
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1951-1960"	"2020"	46154
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1951-1960"	"2021"	46194
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1961-1970"	"2013"	86517
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1961-1970"	"2014"	86732
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1961-1970"	"2015"	86742
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1961-1970"	"2016"	86950
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1961-1970"	"2017"	87003
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1961-1970"	"2018"	87181
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1961-1970"	"2019"	87267
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1961-1970"	"2020"	87598
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1961-1970"	"2021"	87561
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1971-1980"	"2013"	121877
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1971-1980"	"2014"	122227
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1971-1980"	"2015"	122295
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1971-1980"	"2016"	122546
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1971-1980"	"2017"	122504
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1971-1980"	"2018"	122598
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1971-1980"	"2019"	122632
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1971-1980"	"2020"	122926
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1971-1980"	"2021"	122969
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1981-1990"	"2013"	59412
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1981-1990"	"2014"	59742
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1981-1990"	"2015"	59797
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1981-1990"	"2016"	60052
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1981-1990"	"2017"	60039
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1981-1990"	"2018"	61037
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1981-1990"	"2019"	61090
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1981-1990"	"2020"	61335
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1981-1990"	"2021"	61199
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1991-2000"	"2013"	26374
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1991-2000"	"2014"	26625
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1991-2000"	"2015"	26698
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1991-2000"	"2016"	26891
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1991-2000"	"2017"	26934
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1991-2000"	"2018"	27190
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1991-2000"	"2019"	27224
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1991-2000"	"2020"	27226
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"1991-2000"	"2021"	27351
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"2001-2010"	"2013"	32751
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"2001-2010"	"2014"	33108
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"2001-2010"	"2015"	33221
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"2001-2010"	"2016"	34493
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"2001-2010"	"2017"	34726
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"2001-2010"	"2018"	35164
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"2001-2010"	"2019"	35243
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"2001-2010"	"2020"	35118
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"2001-2010"	"2021"	35152
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"2011-2020"	"2013"	5865
"SKL03 large cities (31 municipalities)"	"one- or two-dwelling buildings"	"2011-2020"	"2014"	7480
