"region"	"year"	Population
"SKL08 sparsely populated municipalities (20 municipalities)"	"2015"	160210
"SKL08 sparsely populated municipalities (20 municipalities)"	"2016"	160995
"SKL08 sparsely populated municipalities (20 municipalities)"	"2017"	160212
"SKL08 sparsely populated municipalities (20 municipalities)"	"2018"	159386
"SKL08 sparsely populated municipalities (20 municipalities)"	"2019"	158303
"SKL08 sparsely populated municipalities (20 municipalities)"	"2020"	157031
"SKL08 sparsely populated municipalities (20 municipalities)"	"2021"	156759
"SKL09 municipalities in densely populated regions (35 municipalities)"	"1968"	823684
"SKL09 municipalities in densely populated regions (35 municipalities)"	"1969"	829191
"SKL09 municipalities in densely populated regions (35 municipalities)"	"1970"	832227
"SKL09 municipalities in densely populated regions (35 municipalities)"	"1971"	832329
"SKL09 municipalities in densely populated regions (35 municipalities)"	"1972"	833519
"SKL09 municipalities in densely populated regions (35 municipalities)"	"1973"	835055
"SKL09 municipalities in densely populated regions (35 municipalities)"	"1974"	837427
"SKL09 municipalities in densely populated regions (35 municipalities)"	"1975"	839210
"SKL09 municipalities in densely populated regions (35 municipalities)"	"1976"	839763
"SKL09 municipalities in densely populated regions (35 municipalities)"	"1977"	840329
"SKL09 municipalities in densely populated regions (35 municipalities)"	"1978"	841246
"SKL09 municipalities in densely populated regions (35 municipalities)"	"1979"	842779
"SKL09 municipalities in densely populated regions (35 municipalities)"	"1980"	843706
"SKL09 municipalities in densely populated regions (35 municipalities)"	"1981"	842200
"SKL09 municipalities in densely populated regions (35 municipalities)"	"1982"	840731
"SKL09 municipalities in densely populated regions (35 municipalities)"	"1983"	838346
"SKL09 municipalities in densely populated regions (35 municipalities)"	"1984"	836180
"SKL09 municipalities in densely populated regions (35 municipalities)"	"1985"	833203
"SKL09 municipalities in densely populated regions (35 municipalities)"	"1986"	832596
"SKL09 municipalities in densely populated regions (35 municipalities)"	"1987"	833804
"SKL09 municipalities in densely populated regions (35 municipalities)"	"1988"	836808
"SKL09 municipalities in densely populated regions (35 municipalities)"	"1989"	843089
"SKL09 municipalities in densely populated regions (35 municipalities)"	"1990"	849938
"SKL09 municipalities in densely populated regions (35 municipalities)"	"1991"	855002
"SKL09 municipalities in densely populated regions (35 municipalities)"	"1992"	856248
"SKL09 municipalities in densely populated regions (35 municipalities)"	"1993"	858004
"SKL09 municipalities in densely populated regions (35 municipalities)"	"1994"	862216
"SKL09 municipalities in densely populated regions (35 municipalities)"	"1995"	859856
"SKL09 municipalities in densely populated regions (35 municipalities)"	"1996"	855512
"SKL09 municipalities in densely populated regions (35 municipalities)"	"1997"	850781
"SKL09 municipalities in densely populated regions (35 municipalities)"	"1998"	845470
"SKL09 municipalities in densely populated regions (35 municipalities)"	"1999"	840193
"SKL09 municipalities in densely populated regions (35 municipalities)"	"2000"	837213
"SKL09 municipalities in densely populated regions (35 municipalities)"	"2001"	835977
"SKL09 municipalities in densely populated regions (35 municipalities)"	"2002"	836704
"SKL09 municipalities in densely populated regions (35 municipalities)"	"2003"	838169
"SKL09 municipalities in densely populated regions (35 municipalities)"	"2004"	839475
"SKL09 municipalities in densely populated regions (35 municipalities)"	"2005"	839919
"SKL09 municipalities in densely populated regions (35 municipalities)"	"2006"	841610
"SKL09 municipalities in densely populated regions (35 municipalities)"	"2007"	843805
"SKL09 municipalities in densely populated regions (35 municipalities)"	"2008"	844900
"SKL09 municipalities in densely populated regions (35 municipalities)"	"2009"	846404
"SKL09 municipalities in densely populated regions (35 municipalities)"	"2010"	847771
"SKL09 municipalities in densely populated regions (35 municipalities)"	"2011"	848316
"SKL09 municipalities in densely populated regions (35 municipalities)"	"2012"	848962
"SKL09 municipalities in densely populated regions (35 municipalities)"	"2013"	853839
"SKL09 municipalities in densely populated regions (35 municipalities)"	"2014"	860546
"SKL09 municipalities in densely populated regions (35 municipalities)"	"2015"	868451
"SKL09 municipalities in densely populated regions (35 municipalities)"	"2016"	880657
"SKL09 municipalities in densely populated regions (35 municipalities)"	"2017"	888096
"SKL09 municipalities in densely populated regions (35 municipalities)"	"2018"	893437
"SKL09 municipalities in densely populated regions (35 municipalities)"	"2019"	897528
"SKL09 municipalities in densely populated regions (35 municipalities)"	"2020"	899537
"SKL09 municipalities in densely populated regions (35 municipalities)"	"2021"	904024
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"1968"	346005
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"1969"	343157
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"1970"	342276
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"1971"	343225
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"1972"	343694
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"1973"	343717
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"1974"	345284
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"1975"	346936
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"1976"	347911
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"1977"	349043
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"1978"	349694
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"1979"	350893
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"1980"	351941
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"1981"	351484
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"1982"	350958
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"1983"	349553
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"1984"	348371
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"1985"	346474
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"1986"	345032
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"1987"	344540
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"1988"	344929
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"1989"	347308
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"1990"	349054
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"1991"	350851
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"1992"	351567
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"1993"	351636
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"1994"	351568
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"1995"	348634
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"1996"	345504
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"1997"	341693
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"1998"	338476
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"1999"	335105
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"2000"	332070
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"2001"	329519
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"2002"	327908
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"2003"	327284
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"2004"	326615
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"2005"	325501
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"2006"	324676
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"2007"	323402
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"2008"	322027
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"2009"	320450
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"2010"	319544
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"2011"	318577
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"2012"	317884
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"2013"	318300
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"2014"	319104
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"2015"	320142
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"2016"	322422
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"2017"	322645
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"2018"	321628
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"2019"	321273
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"2020"	320342
"SKL10 municipalities in sparsely populated regions (16 municipalities)"	"2021"	320193
